location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes,intervention_raw
Marston Campbell Park (KIPP School),D3,High,"June 28, 2024","June 28, 2024",2024-06-28,2024-06-28,0,2024,6,2024-06,post_grants_pass,Closure,,False,False,False,False,,named_place,"Marston Campbell Park (KIPP School), Oakland, CA",37.7999,-122.2257,known_place_lookup,,Closure
Lake Merritt: Fairyland (zone 1),D3,High,"June 26, 2024","June 26, 2024",2024-06-26,2024-06-26,0,2024,6,2024-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Lake Merritt: Fairyland (zone 1 and zone 2),D3,High,"June 05, 2024","June 06, 2024",2024-06-05,2024-06-06,1,2024,6,2024-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Union Point Park,D5,High,"June 03, 2024","June 04, 2024",2024-06-03,2024-06-04,1,2024,6,2024-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Helen Mc Gregor Plaza,D1,High,"May 21, 2024","May 21, 2024",2024-05-21,2024-05-21,0,2024,5,2024-05,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Helen Mc Gregor Plaza, Oakland, CA",37.804,-122.268,known_place_lookup,,Closure
Mosswood Park,D3,High,"April 22, 2024","April 25, 2024",2024-04-22,2024-04-25,3,2024,4,2024-04,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
Mosswood Park,D3,High,"April 09, 2024","April 10, 2024",2024-04-09,2024-04-10,1,2024,4,2024-04,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Deep Cleaning
Elmhurst Park (Basketball Court),D7,High,"February 26, 2024","February 26, 2024",2024-02-26,2024-02-26,0,2024,2,2024-02,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Elmhurst Park (Basketball Court), Oakland, CA",37.7713,-122.1889,known_place_lookup,,Deep Cleaning
Elmhurst Park (Tennis Court),D7,High,"February 26, 2024","February 26, 2024",2024-02-26,2024-02-26,0,2024,2,2024-02,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Elmhurst Park (Tennis Court), Oakland, CA",37.7713,-122.1889,known_place_lookup,,Closure
Peralta Park,D2,High,"February 08, 2024","February 09, 2024",2024-02-08,2024-02-09,1,2024,2,2024-02,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Deep Cleaning
Raimondi Park,D3,High,"December 11, 2023","December 15, 2023",2023-12-11,2023-12-15,4,2023,12,2023-12,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
Raimondi Park,D3,High,"December 04, 2023","December 08, 2023",2023-12-04,2023-12-08,4,2023,12,2023-12,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
Raimondi Park,D3,High,"November 14, 2023","November 16, 2023",2023-11-14,2023-11-16,2,2023,11,2023-11,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Deep Cleaning
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway",D3,High,"August 24, 2023","August 24, 2023",2023-08-24,2023-08-24,0,2023,8,2023-08,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Deep Cleaning
Mosswood Park,D3,High,"August 17, 2023","August 18, 2023",2023-08-17,2023-08-18,1,2023,8,2023-08,pre_grants_pass,Closure,,False,False,False,False,entire park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure (Entire Park)
Union Point Park,D5,High,"August 14, 2023","August 14, 2023",2023-08-14,2023-08-14,0,2023,8,2023-08,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Peralta Park,D2,High,"August 10, 2023","August 10, 2023",2023-08-10,2023-08-10,0,2023,8,2023-08,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Deep Cleaning
Mosswood Park,D3,High,"August 07, 2023","August 09, 2023",2023-08-07,2023-08-09,2,2023,8,2023-08,pre_grants_pass,Closure,,False,False,False,False,entire park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure (Entire Park)
Mosswood Park,D3,High,"July 10, 2023","July 11, 2023",2023-07-10,2023-07-11,1,2023,7,2023-07,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
Clinton Park,D5,High,"June 16, 2023","June 16, 2023",2023-06-16,2023-06-16,0,2023,6,2023-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Closure
Union Point Park,D2,High,"June 12, 2023","June 12, 2023",2023-06-12,2023-06-12,0,2023,6,2023-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Mosswood Park,D3,High,"May 16, 2023","May 16, 2023",2023-05-16,2023-05-16,0,2023,5,2023-05,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Deep Cleaning
Raimondi Park,D3,High,"May 01, 2023","May 06, 2023",2023-05-01,2023-05-06,5,2023,5,2023-05,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
Raimondi Park,D3,High,"April 24, 2023","April 29, 2023",2023-04-24,2023-04-29,5,2023,4,2023-04,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
Raimondi Park,D3,High,"April 17, 2023","April 21, 2023",2023-04-17,2023-04-21,4,2023,4,2023-04,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
Raimondi Park,D3,High,"April 10, 2023","April 14, 2023",2023-04-10,2023-04-14,4,2023,4,2023-04,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Pkwy",D3,High,"April 04, 2023","April 04, 2023",2023-04-04,2023-04-04,0,2023,4,2023-04,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Deep Cleaning
Lake Merritt Park: 1200 Lakeshore,D2,High,"March 27, 2023","March 28, 2023",2023-03-27,2023-03-28,1,2023,3,2023-03,pre_grants_pass,Partial Closure,,False,False,False,False,,named_place,"Lake Merritt Park, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Partial Closure
Mosswood Park,D3,High,"March 07, 2023","March 07, 2023",2023-03-07,2023-03-07,0,2023,3,2023-03,pre_grants_pass,Closure,,False,False,False,False,entire park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure entire park
Clinton Park,D2,High,"March 03, 2023","March 03, 2023",2023-03-03,2023-03-03,0,2023,3,2023-03,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Closure
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Pkwy",D3,High,"January 17, 2023","January 17, 2023",2023-01-17,2023-01-17,0,2023,1,2023-01,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Deep Cleaning
Lake Merritt Blvd Underpass Near Peralta Park,D2,High,"December 05, 2022","December 06, 2022",2022-12-05,2022-12-06,1,2022,12,2022-12,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt Boulevard Underpass Near Peralta Park, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Peralta Park,D2,High,"December 05, 2022","December 06, 2022",2022-12-05,2022-12-06,1,2022,12,2022-12,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Closure
Mosswood Park,D3,High,"December 01, 2022","December 02, 2022",2022-12-01,2022-12-02,1,2022,12,2022-12,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
Raimondi Park,D3,High,"November 29, 2022","November 29, 2022",2022-11-29,2022-11-29,0,2022,11,2022-11,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Raimondi Park, Oakland, CA",37.8359,-122.295,known_place_lookup,,Closure
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Pkwy",D3,High,"November 07, 2022","November 07, 2022",2022-11-07,2022-11-07,0,2022,11,2022-11,pre_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Deep Cleaning
Union Point Park,D5,High,"November 02, 2022","November 02, 2022",2022-11-02,2022-11-02,0,2022,11,2022-11,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Mosswood Park,D3,High,"November 01, 2022","November 01, 2022",2022-11-01,2022-11-01,0,2022,11,2022-11,pre_grants_pass,Closure,Deep Cleaning,True,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Partial Closure & Deep Cleaning
Mosswood Park,D3,High,"November 01, 2022","November 01, 2022",2022-11-01,2022-11-01,0,2022,11,2022-11,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
Mosswood Park,D3,High,"October 07, 2022","October 07, 2022",2022-10-07,2022-10-07,0,2022,10,2022-10,pre_grants_pass,Closure,Deep Cleaning,True,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Deep Cleaning: Mosswood Park: Closure 3612 Webster St: Closure Mosswood Park Ampitheather
